Offense Case Type,Offense Date,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
NT,2020-10-01,4:14:00,1102 East 2nd Street,,IN,APD Do Not Use,7597,Black or African American,Male
NT,2020-10-01,21:02:00,East 6th Street And,Congress Avenue,ACT,APD Do Not Use,7245,Black or African American,Male
NT,2020-10-02,2:13:00,300 Block East 6th Street,,IN,APD Do Not Use,7945,White,Male
NT,2020-10-02,20:38:00,North Ih 35 Service Road And,Clermont Avenue,TERM,APD Do Not Use,9105,White,Female
NT,2020-10-03,1:36:00,411 East 6th Street,,TERM,APD Do Not Use,8674,White,Male
NT,2020-10-03,2:30:00,200 Block East 6th Street,,IN,APD Do Not Use,8674,White,Female
NT,2020-10-03,2:30:00,200 Block East 6th Street,,TERM,APD Do Not Use,8674,White,Female
NT,2020-10-07,0:00:00,North Ih 35 Service Road And,East 15th Street,TERM,APD Do Not Use,6471,White,Female
NT,2020-10-08,0:01:00,1500 Block Red River Street,,TERM,APD Do Not Use,8418,White,Male
NT,2020-10-08,16:18:00,6th Street And,Congress Avenue,ACT,APD Do Not Use,8105,White,Male
NT,2020-10-09,19:08:00,20 North Ih 35 Service Road,,TERM,APD Do Not Use,8152,White,Male
NT,2020-10-10,1:34:00,510 West 10th Street,,TERM,APD Do Not Use,7616,Hispanic or Latino,Male
NT,2020-10-11,2:10:00,600 Block East 6th Street,,TERM,APD Do Not Use,8398,Black or African American,Male
NT,2020-10-11,2:23:00,600 Block Neches Street,,ACT,APD Do Not Use,8674,Black or African American,Male
NT,2020-10-11,6:43:00,700 Block Neches Street,,ACT,APD Do Not Use,7796,Hispanic or Latino,Male
TR,2020-10-11,9:10:00,600 Block Trinity Street,,TERM,APD Do Not Use,7796,Hispanic or Latino,Male
NT,2020-10-12,8:22:00,Camping,,TERM,APD Do Not Use,5193,Black or African American,Male
NT,2020-10-13,9:20:00,200 Block Brazos Street,,ACT,APD Do Not Use,8594,Black or African American,Female
NT,2020-10-13,10:23:00,600 Block Sabine Street,,TERM,APD Do Not Use,8594,Black or African American,Male
NT,2020-10-14,11:32:00,N LAMAR BLVD,,ACT,Other Agency,6627,Hispanic or Latino,Male
NT,2020-10-14,14:30:00,300 Block East 6th Street,,ACT,APD Do Not Use,7400,Hispanic or Latino,Male
NT,2020-10-16,8:15:00,500 Block Brazos Street,,ACT,APD Do Not Use,3968,,Male
TR,2020-10-17,0:00:00,700 To 600 Block Congress Avenue,,ACT,APD Do Not Use,4556,White,Male
